Genus	MB22f4	MB22f5	MB22f7	MB22f8	MB23f1	MB23f5	MB23f7	MB24f1	MB24f2	MB24f3	MB24f4	MB25f3	MB25f5	MB26f1	MB26f2	MB26f3	MB26f4	MB26f5	MB26f6	MB26f7	MB26f8	MB26f9	MB27f1	MB27f2	MB27f3	MB27f5	MB29f2	MB29f3	MB29f4	MB29f5	MB29f6	MB29f8	MB30f1	MB30f2	MB30f3	MB30f4	MB30f5	MB30f6	MB31f1	MB31f2	MB31f3	MB31f4	MB31f5	MB32f1	MB32f2	MB32f3	MB32f4	MB32f6	MB33f1	MB33f2	MB33f3	MB33f4	MB33f5	MB33f6	MB33f7	MB33f8	MB34f1	MB34f2	MB34f3	MB34f5	MB34f6	MB34f7	MB35f1	MB35f2	MB35f3	MB35f5	MB35f6	MB36f1	MB36f2	MB37f2	MB37f3	MB37f4	MB37f6	MB37f7	MB38f1	MB38f2	MB38f3	MB38f4	MB38f5
Parasutterella	0	0	0	0	0	0	0	0	0	0	0	3.411278	5.849150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.350217	2.225833	0	0	6.472500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Phascolarctobacterium	0	0	6.403685	0	0	0	0	0	4.065762	6.283326	5.701669	0	0	0	0	0	0	0	0	0	6.380307	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48.310863	70.685740	0	0	0	0	0	7.371044	60.238262	32.642433	31.633566	15.716521
Phocaeicola	0	0	3.357748	0	0	0	0	7.222598	28.019814	90.383998	53.783448	18.137282	17.473017	44.665305	34.026086	67.466274	4.114448	63.011618	7.570642	44.545792	165.171977	62.593203	0	0	0	0	5.785556	16.019882	30.680340	6.289478	5.749206	11.672495	9.739813	4.704647	1.985242	2.519843	3.671807	14.695473	0	0	0	0	0	1.820253	1.877900	3.985377	9.453361	7.285622	53.590508	135.194960	140.858920	35.587055	79.162415	21.374899	76.731766	79.201930	0	6.977082	16.777388	0	0	0	0	0	0	0	0	0	0	5.424772	0	3.709437	0	13.278950	0	0	0	0	0
Prevotella	0	0	0	0	266.065160	130.709289	234.070331	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.960771	4.629712	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Propionibacterium	0	0	0	0	0	0	0	8.502347	88.649480	159.540450	86.224340	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.452444	4.880284	5.672336	6.254304	16.366726	0	4.351078	3.014721	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pseudoflavonifractor	0	0	2.158559	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Roseburia	0	0	6.568659	2.243179	2.150418	0	6.026433	0	0	5.593484	0	0	0	10.808718	9.544773	20.898972	0	0	0	7.641676	37.140494	0	0	0	0	0	0	4.018414	9.411636	3.417375	0	0	17.078962	24.334067	12.940844	0	2.451537	21.732304	14.380681	2.063522	7.426654	0	5.318734	0	0	0	9.041830	2.286694	0	0	0	0	0	0	2.232637	1.870557	2.581998	2.834548	10.470778	0	0	0	2.618407	5.120175	0	0	3.422313	0	3.758212	4.512234	0	12.105339	3.802457	0	1.612093	0	2.021481	0	0
Ruminiclostridium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.408358	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ruminococcus	0	0	2.751464	0	16.219749	13.034621	103.100792	1.898638	59.454207	306.301927	114.763473	0	12.128840	39.948864	49.093745	187.112209	11.606753	168.658968	39.131227	109.834433	279.823364	65.452022	0	0	0	0	0	0	0	0	0	0	64.704225	51.759342	39.964639	10.414360	20.933279	178.200875	391.004588	91.580262	127.930981	15.720944	98.830622	1.966673	0	0	14.674115	7.290271	35.338681	13.826525	16.114298	6.109619	159.282408	0	80.300361	132.863925	9.469124	39.042999	107.521748	0	0	0	10.937078	24.098451	0	0	3.716994	21.350330	48.032565	0	0	0	0	0	0	0	1.754154	0	0
Salmonella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.146169	0	0	0	0	0	0	0	0	0	0	0	0	2.095539	8.582498	0	4.095385	0	0	0	2.407983	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Staphylococcus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.841156	7.700840	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18.159166	10.159167	5.359990	0	3.636153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Subdoligranulum	0	5.915960	138.386397	51.318389	12.246543	10.984701	13.028734	2.188394	0	15.220182	6.756809	0	0	5.132919	5.612130	55.198891	4.038050	78.373703	1.952468	18.463027	157.987085	29.520449	0	0	0	0	0	0	0	0	0	0	75.154535	48.832200	60.486827	153.299501	129.868314	471.435138	2.660505	2.798932	2.367837	0	2.551838	14.937668	17.054103	4.185030	32.713700	13.678024	2.413240	23.133532	28.717864	0	22.088613	0	4.221670	13.042658	3.020556	17.117536	60.089247	0	0	7.249752	0	1.707993	0	0	0	136.310537	536.762409	1.833403	1.817726	2.896739	0	0	0	0	0	0	0
Sutterella	0	0	12.341290	1.825604	0	0	0	0	4.618377	15.537777	16.241137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.608635	5.135548	0	0	4.406140	0	0	0	0	0	0	0	0	0	0	0	7.062807	6.647723	2.932280	17.444164	6.312309	16.831844	29.468639	23.709507	2.802686	10.985666	8.728019	12.205708	12.240181	0	0	0	0	0	0	0	3.290001	0	0	0	0	0	5.498563	3.912891	7.444788	2.686701	8.361626	0	0	0	0	0
Turicibacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18.22166	0	0
Unclassified	157.9020	263.1056	2174.0292	615.5136	431.4882	351.8608	459.7990	750.4303	1370.3008	4974.2270	4571.6205	2242.5883	1124.2795	4169.3175	3308.1843	8771.0552	1216.8221	8233.7187	1597.5375	4288.8255	16795.7814	5583.7519	1268.3671	1594.9720	1444.6471	519.9270	180.1417	1167.4461	2130.0997	475.4981	299.4527	582.3684	2791.3284	2319.5947	2209.6049	891.4489	1401.1459	5904.3613	8485.4346	4583.4859	4899.6798	565.6683	2377.8797	4280.3241	4804.8559	2358.5366	14504.4961	5358.7238	4866.0631	5529.6275	7236.8110	2505.2266	5256.5219	715.1931	5292.0785	5910.7994	1726.3971	5385.8105	12435.6185	1204.7150	749.8308	2549.6458	1240.8331	2576.0528	536.3202	645.9490	1310.7070	4366.6169	8989.2817	3897.5789	2546.2416	5199.9282	1488.7575	3779.8355	408.3662	1311.5407	719.2663	1090.4903	615.7399
Veillonella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.8114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
